text,intent
"이 서비스에 대해 설명해주세요","해당 서비스는 서울시 공영주차장들의 여석수 제공과 예약 서비스를 제공하는 네비게이션 서비스입니다."
"개발(구현) 아키텍처(기술) 설명","프론트엔드는 리액트를 사용했고 백엔드 서버는 스프링부트 서버와 파이썬의 플라스크 서버를 활용하여 개발 되었습니다."
"너 누구야?","저는 Ezpark의 챗봇입니다.무엇이든 질문해주세요!"
"기존 주차앱들과의 차이점","저희 서비스는 실시간 여석수 정보를 제공하고 여석기반 예약을 진행할 수 있으며 기본적으로 네비게이션 기능을 제공합니다."
"안녕","저는 Ezpark의 챗봇입니다.무엇이든 질문해주세요!"
"하이","저는 Ezpark의 챗봇입니다.무엇이든 질문해주세요!"
"이걸 써서 뭘할수 있어?","저희 서비스는 실시간 여석수 정보를 제공하고 여석기반 예약을 진행할 수 있으며 기본적으로 네비게이션 기능을 제공합니다."
"여석기반 예약이 뭐야?","여석기반 예약이란 예약된 주차장중 여석이 부족한 주차장은 주변 주차장을 추천해주거나,입,출차 시간을 기반으로 후불결제를 편하게 할 수 있는 서비스를 의미합니다."
"API들은 어떤걸 썼어","서울열린데이터 광장에서 실시간 주차대수 API를 받아왔고,카카오맵 API와 티맵 API를 활용하였습니다."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
